Provinsi,Perkotaan,Perdesaan,Perkotaan+Perdesaan
ACEH,18.47,5.74,9.99
SUMATERA UTARA,14.18,6,10.55
SUMATERA BARAT,19.96,8.11,13.95
RIAU,17.76,6.5,11.02
JAMBI,19.36,7.1,11.13
SUMATERA SELATAN,15.6,4.32,8.56
BENGKULU,21.76,6.81,11.77
LAMPUNG,13.62,4.29,7.27
KEP. BANGKA BELITUNG,14.23,6.07,10.69
KEP. RIAU,21.46,9.22,20.53
DKI JAKARTA,23.87,-,23.87
JAWA BARAT,14.49,4.59,12.31
JAWA TENGAH,13.14,5.24,9.33
DI YOGYAKARTA,24.45,7.98,20.17
JAWA TIMUR,14.54,5.48,10.44
BANTEN,15.23,3.12,11.8
BALI,17.77,6.77,14.52
NUSA TENGGARA BARAT,13.83,6.17,9.99
NUSA TENGGARA TIMUR,23.9,6.57,10.9
KALIMANTAN BARAT,15.36,4.58,8.47
KALIMANTAN TENGAH,18.28,5.6,10.86
KALIMANTAN SELATAN,17.4,6.07,11.55
KALIMANTAN TIMUR,21.3,9.33,17.56
KALIMANTAN UTARA,18.66,7.76,14.51
SULAWESI UTARA,15.91,8.21,12.38
SULAWESI TENGAH,19.02,6.98,10.72
SULAWESI SELATAN,19.68,8.07,13.28
SULAWESI TENGGARA,20.92,7.48,12.32
GORONTALO,17.44,7.45,11.83
SULAWESI BARAT,15.12,8.76,10.06
MALUKU,21.15,5.74,12.59
MALUKU UTARA,20.15,5.23,9.52
PAPUA BARAT,18.91,7.23,12.26
PAPUA BARAT DAYA,-,-,-
PAPUA,17.25,2.02,6.39
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,16.22,5.66,11.67
